epoch,train_loss,test_acc,best_acc
1,4.522125046844482,0.1521,0.1521
2,2.1851969306182863,0.2525,0.2525
3,2.0356927910614013,0.3494,0.3494
4,1.9314519245910644,0.3844,0.3844
5,1.8611643573760985,0.4548,0.4548
6,1.8058693365478515,0.4994,0.4994
7,1.7515744609832764,0.4763,0.4994
8,1.7117972924041749,0.5323,0.5323
9,1.6826442421722412,0.5175,0.5323
10,1.6581762966918945,0.5666,0.5666
11,1.6250343154907227,0.5558,0.5666
12,1.5895771914291381,0.592,0.592
13,1.5604991100311278,0.5822,0.592
14,1.530908779258728,0.6196,0.6196
15,1.4988980514144898,0.6245,0.6245
16,1.4720434044647217,0.629,0.629
17,1.4514951051712035,0.6407,0.6407
18,1.4263198837280273,0.672,0.672
19,1.4116000358963012,0.6459,0.672
20,1.3897107885742188,0.6479,0.672
21,1.3758790128707885,0.6749,0.6749
22,1.3646555765914916,0.6596,0.6749
23,1.3473703354644775,0.6562,0.6749
24,1.340666230583191,0.6483,0.6749
25,1.326480224609375,0.6795,0.6795
26,1.313844356956482,0.6614,0.6795
27,1.3025604231643677,0.6772,0.6795
28,1.291505678024292,0.6601,0.6795
29,1.2777820666503907,0.6836,0.6836
30,1.2678267542266846,0.6857,0.6857
31,1.2538060778808593,0.6748,0.6857
32,1.2536746695327758,0.6699,0.6857
33,1.2455639239883423,0.655,0.6857
34,1.2306809665679932,0.6723,0.6857
35,1.2258492680358886,0.6933,0.6933
36,1.207595463409424,0.6895,0.6933
37,1.2033003157806397,0.6737,0.6933
38,1.1981798933792114,0.6878,0.6933
39,1.1818644284820556,0.6818,0.6933
40,1.179594885482788,0.6786,0.6933
41,1.1665372648620604,0.6835,0.6933
42,1.1572228437042236,0.6798,0.6933
43,1.1501517789840698,0.6768,0.6933
44,1.1394526851272584,0.6815,0.6933
45,1.1355452537918092,0.6705,0.6933
46,1.1187999667549133,0.6795,0.6933
47,1.1075445690536498,0.6667,0.6933
48,1.0982366770172118,0.6836,0.6933
49,1.0890687215805053,0.6732,0.6933
50,1.08428905960083,0.6783,0.6933
51,1.0720028085708617,0.6643,0.6933
52,1.057379257774353,0.6741,0.6933
53,1.0544749339294435,0.6766,0.6933
54,1.036894960784912,0.6601,0.6933
55,1.0266567126464843,0.6735,0.6933
56,1.0090865836334229,0.6718,0.6933
57,1.0001566648101807,0.6722,0.6933
58,0.9865990516853332,0.6691,0.6933
59,0.9733522176742554,0.6764,0.6933
60,0.9582586829376221,0.66,0.6933
61,0.9462192547225952,0.6658,0.6933
62,0.9319328745651245,0.6525,0.6933
63,0.922756697845459,0.6308,0.6933
64,0.9002251984786988,0.6643,0.6933
65,0.8960494509315491,0.6716,0.6933
66,0.871718602771759,0.6492,0.6933
67,0.8604676338386535,0.6478,0.6933
68,0.8482743273925781,0.6296,0.6933
69,0.8242574282836914,0.6563,0.6933
70,0.806504606666565,0.6378,0.6933
71,0.7947561974525452,0.6478,0.6933
72,0.7751614663124085,0.6329,0.6933
