epoch,train_loss,test_acc,best_acc
1,4.895488829650879,0.038,0.038
2,4.374542342834473,0.0542,0.0542
3,4.253887597198486,0.0828,0.0828
4,4.139781784667969,0.1078,0.1078
5,4.033438043670654,0.1306,0.1306
6,3.9405079641723635,0.1463,0.1463
7,3.8398121086120605,0.1737,0.1737
8,3.7434908026885987,0.208,0.208
9,3.6533479985809327,0.2455,0.2455
10,3.551232759475708,0.252,0.252
11,3.452711925048828,0.2744,0.2744
12,3.362725594406128,0.3059,0.3059
13,3.26828987701416,0.3122,0.3122
14,3.165506114654541,0.3603,0.3603
15,3.0870573625183106,0.3672,0.3672
16,3.010867980194092,0.3744,0.3744
17,2.9495543809509277,0.391,0.391
18,2.8825131858825683,0.4303,0.4303
19,2.8308063948059083,0.4397,0.4397
20,2.781260022125244,0.4178,0.4397
21,2.7378872859191894,0.456,0.456
22,2.693918306121826,0.4355,0.456
23,2.658799333190918,0.4527,0.456
24,2.6152760503387453,0.4345,0.456
25,2.592175272369385,0.4424,0.456
26,2.255445099945068,0.5874,0.5874
27,2.1347221088409425,0.5938,0.5938
28,2.0737492541122435,0.6013,0.6013
29,2.0248712439727785,0.5991,0.6013
30,1.9813976307678223,0.5945,0.6013
31,1.939369662246704,0.6012,0.6013
32,1.8959530410385133,0.5969,0.6013
33,1.852525348854065,0.5984,0.6013
34,1.8057463991546632,0.5936,0.6013
35,1.7621577416229248,0.5882,0.6013
36,1.720206967010498,0.589,0.6013
37,1.6727668389892578,0.5867,0.6013
38,1.62377727268219,0.5806,0.6013
39,1.4312028400421142,0.6051,0.6051
40,1.3616602975082397,0.6081,0.6081
41,1.328942689743042,0.6064,0.6081
42,1.3030562286376952,0.6048,0.6081
43,1.279716736869812,0.6055,0.6081
44,1.2582515587615968,0.6031,0.6081
45,1.2369879750061035,0.6015,0.6081
46,1.2173453578567506,0.6012,0.6081
47,1.199536339416504,0.6018,0.6081
48,1.177196106338501,0.6005,0.6081
49,1.157327127456665,0.5969,0.6081
50,1.1378713051223754,0.5965,0.6081
