dataset,seed,method,keep_ratio,num_selected,num_noisy_selected,noise_ratio_in_mask,mask_path
tiny-imagenet,22,herding,30,30000,5977,0.19923333333333335,/nvme/home/lixiang/baseline/herding/noise_masks/tiny-imagenet/22/herding/mask_30.npz
tiny-imagenet,22,herding,50,50000,9987,0.19974,/nvme/home/lixiang/baseline/herding/noise_masks/tiny-imagenet/22/herding/mask_50.npz
