step,epoch,lr,train_loss,train_acc,test_loss,test_acc,elapsed_sec
1,0.0006402048655569782,0.025,5.521677494049072,0.0,5.343873040771484,0.0053,4.213190317153931
15620,10.0,0.025,3.3659133911132812,0.359375,2.8938580375671386,0.4219,1485.0169749259949
31240,20.0,0.025,1.9883548021316528,0.578125,2.683320066833496,0.4252,2960.947119951248
46860,30.0,0.0025000000000000005,0.47539639472961426,0.84375,3.6103156105041503,0.3825,4433.901806592941
62480,40.0,0.0025000000000000005,0.026201585307717323,1.0,3.4785238945007326,0.4161,5906.717524051666
78100,50.0,0.0025000000000000005,0.01531367190182209,1.0,3.4306085678100584,0.4191,7379.7693819999695
93720,60.0,0.00025000000000000006,0.0067003583535552025,1.0,3.3200846786499025,0.4229,8852.493667125702
109340,70.0,0.00025000000000000006,0.008240755647420883,1.0,3.3545856773376466,0.4178,10325.262466907501
124960,80.0,0.00025000000000000006,0.014613351784646511,1.0,3.3888587745666503,0.4126,11798.01972913742
140580,90.0,0.00025000000000000006,0.02424907125532627,1.0,3.3258313140869142,0.4189,13270.56673669815
