step,epoch,lr,train_loss,train_acc,test_loss,test_acc,elapsed_sec
1,0.0006402048655569782,0.025,5.399501323699951,0.015625,5.355537601470948,0.0061,7.986572742462158
15620,10.0,0.025,2.996110677719116,0.4375,2.3950306549072264,0.4499,2675.121015071869
31240,20.0,0.025,2.488098621368408,0.4375,2.7876092483520507,0.4142,5276.46075463295
46860,30.0,0.0025000000000000005,0.7217980027198792,0.8125,3.7925031951904296,0.3593,7668.889952421188
62480,40.0,0.0025000000000000005,0.020751437172293663,1.0,3.4156942100524903,0.4199,10246.627632856369
78100,50.0,0.0025000000000000005,0.01726626604795456,1.0,3.324076023864746,0.4249,12827.43502163887
93720,60.0,0.00025000000000000006,0.006353587843477726,1.0,3.2431632453918455,0.4251,15398.537058115005
109340,70.0,0.00025000000000000006,0.007307175546884537,1.0,3.274521999359131,0.4221,17972.95765209198
124960,80.0,0.00025000000000000006,0.005876742769032717,1.0,3.2322356895446775,0.4274,20563.355317115784
140580,90.0,0.00025000000000000006,0.008414797484874725,1.0,3.160917223358154,0.4324,23151.245926856995
