epoch,train_loss,test_acc,best_acc
1,5.3557386608886715,0.014,0.014
2,5.111295079040527,0.0278,0.0278
3,4.885715946502685,0.0717,0.0717
4,4.593938008804321,0.1109,0.1109
5,4.3509865557861325,0.1602,0.1602
6,4.189997590789795,0.1709,0.1709
7,4.078819680633545,0.1762,0.1762
8,3.9788828242492675,0.1928,0.1928
9,3.9094453173828123,0.2181,0.2181
10,3.839490157394409,0.2357,0.2357
11,3.772107424621582,0.2152,0.2357
12,3.7240157754516603,0.218,0.2357
13,3.672502434463501,0.2426,0.2426
14,3.618932509765625,0.2697,0.2697
15,3.5752970571136475,0.2445,0.2697
16,3.533026953582764,0.2644,0.2697
17,3.5029836125183107,0.2364,0.2697
18,3.4617778736114504,0.2392,0.2697
19,3.4283195295715334,0.2333,0.2697
20,3.398096266708374,0.2687,0.2697
21,3.366698039932251,0.2714,0.2714
22,3.341171443023682,0.2561,0.2714
23,3.31571950050354,0.2336,0.2714
24,3.2831031737518312,0.2873,0.2873
25,3.262778698959351,0.252,0.2873
26,3.2387516778564454,0.2851,0.2873
27,3.216652621612549,0.2683,0.2873
28,3.19567931060791,0.2659,0.2873
29,3.173963977355957,0.2702,0.2873
30,3.1509810355377197,0.2791,0.2873
31,3.126986712112427,0.2723,0.2873
32,3.11146654624939,0.2972,0.2972
33,3.095845312957764,0.2868,0.2972
34,3.0745788996887207,0.2901,0.2972
35,3.058595006027222,0.2602,0.2972
36,3.0424355186462404,0.2737,0.2972
37,3.0298818215942385,0.2882,0.2972
38,3.002817085266113,0.2669,0.2972
39,2.984690464401245,0.2788,0.2972
40,2.9672952571105955,0.2918,0.2972
41,2.950312393951416,0.2679,0.2972
42,2.9282976405334473,0.2656,0.2972
43,2.9139618618011474,0.2862,0.2972
44,2.899097679824829,0.2724,0.2972
45,2.877845802078247,0.2559,0.2972
46,2.8604805796051025,0.2494,0.2972
47,2.8505874168395997,0.2614,0.2972
48,2.825074603805542,0.2849,0.2972
49,2.8083199783325195,0.2616,0.2972
50,2.7897946784210204,0.2744,0.2972
51,2.766726853713989,0.2475,0.2972
52,2.746509041213989,0.2855,0.2972
53,2.7264429888916015,0.2898,0.2972
54,2.702133430404663,0.2648,0.2972
55,2.6895532429504394,0.2856,0.2972
56,2.6666900227355956,0.2715,0.2972
57,2.6534953012084963,0.2464,0.2972
58,2.620694516067505,0.2767,0.2972
59,2.601065080795288,0.2186,0.2972
60,2.574760143737793,0.2823,0.2972
61,2.551171311798096,0.272,0.2972
62,2.533208748474121,0.2302,0.2972
63,2.5089286277008056,0.2575,0.2972
64,2.482413037490845,0.2221,0.2972
65,2.459843551559448,0.2675,0.2972
66,2.443905172729492,0.2502,0.2972
67,2.4153268143463134,0.2441,0.2972
68,2.3840218795013426,0.255,0.2972
69,2.367954514389038,0.2651,0.2972
70,2.3329611000061035,0.2514,0.2972
71,2.313816968154907,0.2722,0.2972
