step,epoch,lr,train_loss,train_acc,test_loss,test_acc,elapsed_sec
1,0.0006402048655569782,0.025,5.571634769439697,0.015625,5.355141896057129,0.0054,4.230587005615234
15620,10.0,0.025,3.19844913482666,0.375,2.4764948593139646,0.4514,1482.7558734416962
31240,20.0,0.025,1.5297996997833252,0.640625,2.902336491775513,0.4005,2958.7862248420715
46860,30.0,0.0025000000000000005,0.7962695360183716,0.71875,3.780511865234375,0.3551,4433.347941398621
62480,40.0,0.0025000000000000005,0.017991667613387108,1.0,3.439660475921631,0.4054,5907.647928237915
78100,50.0,0.0025000000000000005,0.008645428344607353,1.0,3.3239792320251467,0.4186,7382.1052775383
93720,60.0,0.00025000000000000006,0.006588001269847155,1.0,3.205140789794922,0.421,8855.83839559555
109340,70.0,0.00025000000000000006,0.004366934299468994,1.0,3.2293962661743163,0.4171,10330.515505552292
124960,80.0,0.00025000000000000006,0.00960469152778387,1.0,3.170842549133301,0.4232,11804.56877565384
140580,90.0,0.00025000000000000006,0.005345670040696859,1.0,3.197779086303711,0.4197,13277.353607654572
