step,epoch,lr,train_loss,train_acc,test_loss,test_acc,elapsed_sec
1,0.002564102564102564,0.1,4.765263557434082,0.015625,9.457361692810059,0.010000000083446503,1.0359125137329102
3900,10.0,0.1,2.6099305152893066,0.4375,1.996698092651367,0.498,118.25988268852234
7800,20.0,0.1,2.0801985263824463,0.5625,1.7243878913879394,0.5588999990463257,235.50133895874023
11700,30.0,0.1,2.395073890686035,0.5390625,1.6792460819244386,0.5840999988555908,353.02212929725647
15600,40.0,0.1,2.504532814025879,0.484375,1.6605045682907105,0.5796000014305115,470.1921064853668
19500,50.0,0.1,2.1251330375671387,0.5390625,1.6294370136260987,0.5892999994277954,587.6316666603088
23400,60.0,0.020000000000000004,2.304398775100708,0.5234375,1.6323163228988646,0.5956000008583069,705.0192449092865
27300,70.0,0.020000000000000004,1.007824420928955,0.7421875,1.768982226753235,0.5965999981880188,822.5944044589996
31200,80.0,0.020000000000000004,0.9542239904403687,0.7421875,1.9345723335266114,0.5780999980926513,940.0179057121277
35100,90.0,0.020000000000000004,0.48487696051597595,0.8359375,2.034816087913513,0.5728999997138977,1057.310546875
39000,100.0,0.020000000000000004,0.7338863611221313,0.7734375,2.1348596214294435,0.5684999997138978,1174.82799077034
42900,110.0,0.020000000000000004,0.580944299697876,0.8515625,2.187155573272705,0.5508999969482422,1292.2597453594208
46800,120.0,0.004000000000000001,0.6652653813362122,0.8359375,2.2356748233795165,0.5521999983787537,1409.498717546463
50700,130.0,0.004000000000000001,0.02627567946910858,1.0,1.8174209938049317,0.6194,1526.6890366077423
54600,140.0,0.004000000000000001,0.02224625274538994,1.0,1.684729246711731,0.6335000009536743,1644.0012798309326
58500,150.0,0.004000000000000001,0.029560960829257965,0.9921875,1.6588200925827026,0.640000001335144,1761.2992713451385
62400,160.0,0.0008000000000000003,0.06356751173734665,0.9765625,1.6263506376266479,0.6397999979972839,1878.5485305786133
66300,170.0,0.0008000000000000003,0.01462387666106224,1.0,1.6304431007385254,0.6423000002861023,1995.7271564006805
70200,180.0,0.0008000000000000003,0.014834553003311157,1.0,1.5874157123565673,0.6450000001907349,2113.3251683712006
74100,190.0,0.0008000000000000003,0.01852240227162838,1.0,1.5858633825302124,0.6500000002861023,2230.132742166519
78000,200.0,0.0008000000000000003,0.013129385188221931,1.0,1.589097264099121,0.6460000010490418,2346.8311417102814
