step,epoch,lr,train_loss,train_acc,test_loss,test_acc,elapsed_sec
1,0.002564102564102564,0.1,4.794761657714844,0.0,5.9259958076477055,0.01,1.0333304405212402
3900,10.0,0.1,2.7791621685028076,0.4375,1.9758869815826416,0.5035999988555908,115.61600685119629
7800,20.0,0.1,2.5366997718811035,0.4375,1.7210002561569213,0.5632999987602234,230.43402290344238
11700,30.0,0.1,2.45145845413208,0.5546875,1.6693405178070069,0.5781000006675721,345.49063634872437
15600,40.0,0.1,2.6427276134490967,0.46875,1.6200238422393798,0.5903000010490418,460.4896249771118
19500,50.0,0.1,2.369544744491577,0.484375,1.6177309158325195,0.5917999982833863,575.4632165431976
23400,60.0,0.020000000000000004,2.363710641860962,0.4609375,1.5974741075515748,0.6041000003814697,690.3978595733643
27300,70.0,0.020000000000000004,0.824158787727356,0.8125,1.73853424949646,0.6053999985694886,805.3682250976562
31200,80.0,0.020000000000000004,0.7949230670928955,0.7890625,1.953987272453308,0.5734999970436097,920.2716748714447
35100,90.0,0.020000000000000004,0.6437433958053589,0.828125,2.0715406888961794,0.5671999973297119,1035.171622991562
39000,100.0,0.020000000000000004,0.5572100281715393,0.8203125,2.2058661224365235,0.5508999995231628,1150.1253480911255
42900,110.0,0.020000000000000004,0.5383706092834473,0.875,2.1835365135192872,0.5540999998092652,1265.0973205566406
46800,120.0,0.004000000000000001,0.6352390050888062,0.8125,2.15973960647583,0.5548999971389771,1380.348745584488
50700,130.0,0.004000000000000001,0.04168086498975754,0.9921875,1.7365626365661622,0.6338000010490418,1495.3081068992615
54600,140.0,0.004000000000000001,0.02368568256497383,1.0,1.652192015838623,0.638000001335144,1610.2504522800446
58500,150.0,0.004000000000000001,0.01951570063829422,1.0,1.6315762237548828,0.6364000010490417,1725.3074386119843
62400,160.0,0.0008000000000000003,0.025346340611577034,0.9921875,1.5905352655410767,0.6415999990463257,1840.2271568775177
66300,170.0,0.0008000000000000003,0.04188086465001106,0.984375,1.570995126914978,0.6417000012397767,1955.0371198654175
70200,180.0,0.0008000000000000003,0.018192753195762634,1.0,1.5521167642593383,0.6481999981880188,2070.1669125556946
74100,190.0,0.0008000000000000003,0.018470315262675285,1.0,1.5658045816421509,0.6451999997138977,2185.1056759357452
78000,200.0,0.0008000000000000003,0.0164289902895689,1.0,1.5630723167419434,0.6444000013351441,2299.890730857849
