step,epoch,lr,train_loss,train_acc,test_loss,test_acc,elapsed_sec
1,0.0006402048655569782,0.025,5.4064860343933105,0.03125,5.3790851364135746,0.0049,7.027646541595459
15620,10.0,0.025,2.518585681915283,0.46875,2.4587695152282714,0.4345,2536.6022548675537
31240,20.0,0.025,2.2318029403686523,0.53125,2.729124530029297,0.4212,5071.6747143268585
46860,30.0,0.0025000000000000005,0.9123967289924622,0.75,3.5601607025146484,0.3769,7597.689885377884
62480,40.0,0.0025000000000000005,0.01549370214343071,1.0,3.3887213180541993,0.4161,10124.85166835785
78100,50.0,0.0025000000000000005,0.013401423580944538,1.0,3.333643123626709,0.4153,12659.005336284637
93720,60.0,0.00025000000000000006,0.005381197668612003,1.0,3.350026789855957,0.4236,15192.633652687073
109340,70.0,0.00025000000000000006,0.005667125340551138,1.0,3.3143850151062013,0.4254,17721.713092565536
124960,80.0,0.00025000000000000006,0.012103011831641197,1.0,3.3041069763183595,0.4217,20255.55324435234
140580,90.0,0.00025000000000000006,0.007566903717815876,1.0,3.2563388076782225,0.4222,22794.69730734825
