WARNING:tensorflow:From /home/lixiang/miniconda3_old/envs/data_diet/lib/python3.7/site-packages/tensorflow_datasets/core/dataset_builder.py:622: get_single_element (from tensorflow.python.data.experimental.ops.get_single_element) is deprecated and will be removed in a future version.
Instructions for updating:
Use `tf.data.Dataset.get_single_element()`.
load cifar10... 13s
get train state... 13s
train args:
{
    "data_dir": "/home/lixiang/baseline/data_diet/data",
    "dataset": "cifar10",
    "subset": null,
    "subset_size": null,
    "scores_path": null,
    "subset_offset": null,
    "random_subset_seed": null,
    "model": "resnet18_lowres",
    "model_seed": 132,
    "load_dir": null,
    "ckpt": 0,
    "lr": 0.1,
    "beta": 0.9,
    "weight_decay": 0.0005,
    "nesterov": true,
    "lr_vitaly": false,
    "decay_factor": 0.2,
    "decay_steps": [
        93780,
        187560,
        250080
    ],
    "num_steps": 312600,
    "train_seed": 132,
    "train_batch_size": 32,
    "test_batch_size": 128,
    "augment": true,
    "track_forgetting": true,
    "save_dir": "/home/lixiang/baseline/data_diet/exps/formal_cifar10_seed22_E200_b32_k6/run_5",
    "log_steps": 1563,
    "early_step": 0,
    "early_save_steps": null,
    "save_steps": 1563,
    "image_shape": [
        32,
        32,
        3
    ],
    "num_classes": 10,
    "num_train_examples": 50000,
    "num_test_examples": 10000,
    "steps_per_epoch": 1562,
    "steps_per_test": 79,
    "random_label_fraction": 0,
    "num_params": 11173962
}
Save args to /home/lixiang/baseline/data_diet/exps/formal_cifar10_seed22_E200_b32_k6/run_5/args.json
train net...
  0.00% | time:  20.9s (  0.3m) | step:      0 | lr:   init | train acc:  init | test acc: 0.100
  0.50% | time: 117.8s (  2.3m) | step:   1563 | lr: 0.1000 | train acc: 0.375 | test acc: 0.423
  1.00% | time:  92.8s (  3.9m) | step:   3126 | lr: 0.1000 | train acc: 0.750 | test acc: 0.583
  1.50% | time:  87.3s (  5.3m) | step:   4689 | lr: 0.1000 | train acc: 0.688 | test acc: 0.639
  2.00% | time:  77.3s (  6.6m) | step:   6252 | lr: 0.1000 | train acc: 0.719 | test acc: 0.684
  2.50% | time:  86.9s (  8.1m) | step:   7815 | lr: 0.1000 | train acc: 0.688 | test acc: 0.687
  3.00% | time:  87.3s (  9.5m) | step:   9378 | lr: 0.1000 | train acc: 0.844 | test acc: 0.738
  3.50% | time:  87.6s ( 11.0m) | step:  10941 | lr: 0.1000 | train acc: 0.781 | test acc: 0.686
  4.00% | time:  77.4s ( 12.3m) | step:  12504 | lr: 0.1000 | train acc: 1.000 | test acc: 0.716
  4.50% | time:  87.9s ( 13.7m) | step:  14067 | lr: 0.1000 | train acc: 0.719 | test acc: 0.678
  5.00% | time:  86.6s ( 15.2m) | step:  15630 | lr: 0.1000 | train acc: 0.688 | test acc: 0.738
  5.50% | time:  78.3s ( 16.5m) | step:  17193 | lr: 0.1000 | train acc: 0.750 | test acc: 0.719
  6.00% | time:  86.9s ( 17.9m) | step:  18756 | lr: 0.1000 | train acc: 0.781 | test acc: 0.768
  6.50% | time:  86.4s ( 19.4m) | step:  20319 | lr: 0.1000 | train acc: 0.844 | test acc: 0.780
  7.00% | time:  78.0s ( 20.7m) | step:  21882 | lr: 0.1000 | train acc: 0.750 | test acc: 0.715
  7.50% | time:  87.0s ( 22.1m) | step:  23445 | lr: 0.1000 | train acc: 0.688 | test acc: 0.739
  8.00% | time:  88.4s ( 23.6m) | step:  25008 | lr: 0.1000 | train acc: 0.812 | test acc: 0.778
  8.50% | time:  87.8s ( 25.0m) | step:  26571 | lr: 0.1000 | train acc: 0.625 | test acc: 0.755
  9.00% | time:  77.2s ( 26.3m) | step:  28134 | lr: 0.1000 | train acc: 0.875 | test acc: 0.770
  9.50% | time:  86.4s ( 27.8m) | step:  29697 | lr: 0.1000 | train acc: 0.719 | test acc: 0.734
 10.00% | time:  87.0s ( 29.2m) | step:  31260 | lr: 0.1000 | train acc: 0.812 | test acc: 0.741
 10.50% | time:  77.4s ( 30.5m) | step:  32823 | lr: 0.1000 | train acc: 0.688 | test acc: 0.747
 11.00% | time:  88.1s ( 32.0m) | step:  34386 | lr: 0.1000 | train acc: 0.750 | test acc: 0.766
 11.50% | time:  87.4s ( 33.4m) | step:  35949 | lr: 0.1000 | train acc: 0.875 | test acc: 0.776
 12.00% | time:  77.3s ( 34.7m) | step:  37512 | lr: 0.1000 | train acc: 0.812 | test acc: 0.670
 12.50% | time:  86.9s ( 36.2m) | step:  39075 | lr: 0.1000 | train acc: 0.844 | test acc: 0.753
 13.00% | time:  86.1s ( 37.6m) | step:  40638 | lr: 0.1000 | train acc: 0.719 | test acc: 0.767
 13.50% | time:  87.0s ( 39.1m) | step:  42201 | lr: 0.1000 | train acc: 0.719 | test acc: 0.768
 14.00% | time:  77.6s ( 40.4m) | step:  43764 | lr: 0.1000 | train acc: 0.656 | test acc: 0.773
 14.50% | time:  87.0s ( 41.8m) | step:  45327 | lr: 0.1000 | train acc: 0.781 | test acc: 0.767
 15.00% | time:  86.8s ( 43.2m) | step:  46890 | lr: 0.1000 | train acc: 0.812 | test acc: 0.739
 15.50% | time:  76.9s ( 44.5m) | step:  48453 | lr: 0.1000 | train acc: 0.875 | test acc: 0.750
 16.00% | time:  86.2s ( 46.0m) | step:  50016 | lr: 0.1000 | train acc: 0.812 | test acc: 0.772
 16.50% | time:  87.0s ( 47.4m) | step:  51579 | lr: 0.1000 | train acc: 0.812 | test acc: 0.780
 17.00% | time:  77.9s ( 48.7m) | step:  53142 | lr: 0.1000 | train acc: 0.625 | test acc: 0.738
 17.50% | time:  87.0s ( 50.2m) | step:  54705 | lr: 0.1000 | train acc: 0.906 | test acc: 0.740
 18.00% | time:  86.6s ( 51.6m) | step:  56268 | lr: 0.1000 | train acc: 0.781 | test acc: 0.729
 18.50% | time:  86.9s ( 53.1m) | step:  57831 | lr: 0.1000 | train acc: 0.750 | test acc: 0.756
 19.00% | time:  77.3s ( 54.3m) | step:  59394 | lr: 0.1000 | train acc: 0.688 | test acc: 0.747
 19.50% | time:  87.8s ( 55.8m) | step:  60957 | lr: 0.1000 | train acc: 0.719 | test acc: 0.731
 20.00% | time:  87.5s ( 57.3m) | step:  62520 | lr: 0.1000 | train acc: 0.812 | test acc: 0.764
 20.50% | time:  77.1s ( 58.6m) | step:  64083 | lr: 0.1000 | train acc: 0.750 | test acc: 0.736
 21.00% | time:  86.5s ( 60.0m) | step:  65646 | lr: 0.1000 | train acc: 0.719 | test acc: 0.682
 21.50% | time:  86.9s ( 61.4m) | step:  67209 | lr: 0.1000 | train acc: 0.844 | test acc: 0.781
 22.00% | time:  77.9s ( 62.7m) | step:  68772 | lr: 0.1000 | train acc: 0.844 | test acc: 0.758
 22.50% | time:  87.0s ( 64.2m) | step:  70335 | lr: 0.1000 | train acc: 0.750 | test acc: 0.771
 23.00% | time:  87.4s ( 65.6m) | step:  71898 | lr: 0.1000 | train acc: 0.781 | test acc: 0.729
 23.50% | time:  87.4s ( 67.1m) | step:  73461 | lr: 0.1000 | train acc: 0.844 | test acc: 0.769
 24.00% | time:  77.5s ( 68.4m) | step:  75024 | lr: 0.1000 | train acc: 0.688 | test acc: 0.755
 24.50% | time:  86.8s ( 69.8m) | step:  76587 | lr: 0.1000 | train acc: 0.719 | test acc: 0.791
 25.00% | time:  87.3s ( 71.3m) | step:  78150 | lr: 0.1000 | train acc: 0.688 | test acc: 0.737
 25.50% | time:  77.9s ( 72.6m) | step:  79713 | lr: 0.1000 | train acc: 0.812 | test acc: 0.763
 26.00% | time:  87.8s ( 74.1m) | step:  81276 | lr: 0.1000 | train acc: 0.875 | test acc: 0.755
 26.50% | time:  86.6s ( 75.5m) | step:  82839 | lr: 0.1000 | train acc: 0.719 | test acc: 0.775
 27.00% | time:  87.2s ( 77.0m) | step:  84402 | lr: 0.1000 | train acc: 0.812 | test acc: 0.747
 27.50% | time:  77.7s ( 78.2m) | step:  85965 | lr: 0.1000 | train acc: 0.781 | test acc: 0.740
 28.00% | time:  88.4s ( 79.7m) | step:  87528 | lr: 0.1000 | train acc: 0.812 | test acc: 0.772
 28.50% | time:  87.9s ( 81.2m) | step:  89091 | lr: 0.1000 | train acc: 0.688 | test acc: 0.732
