WARNING:tensorflow:From /home/lixiang/miniconda3_old/envs/data_diet/lib/python3.7/site-packages/tensorflow_datasets/core/dataset_builder.py:622: get_single_element (from tensorflow.python.data.experimental.ops.get_single_element) is deprecated and will be removed in a future version.
Instructions for updating:
Use `tf.data.Dataset.get_single_element()`.
load cifar100... 13s
get train state... 13s
train args:
{
    "data_dir": "/home/lixiang/baseline/data_diet/data",
    "dataset": "cifar100",
    "subset": null,
    "subset_size": null,
    "scores_path": null,
    "subset_offset": null,
    "random_subset_seed": null,
    "model": "resnet18_lowres",
    "model_seed": 132,
    "load_dir": null,
    "ckpt": 0,
    "lr": 0.1,
    "beta": 0.9,
    "weight_decay": 0.0005,
    "nesterov": true,
    "lr_vitaly": false,
    "decay_factor": 0.2,
    "decay_steps": [
        93780,
        187560,
        250080
    ],
    "num_steps": 312600,
    "train_seed": 132,
    "train_batch_size": 32,
    "test_batch_size": 128,
    "augment": true,
    "track_forgetting": true,
    "save_dir": "/home/lixiang/baseline/data_diet/exps/formal_cifar100_seed22_E200_b32_k6/run_5",
    "log_steps": 1563,
    "early_step": 0,
    "early_save_steps": null,
    "save_steps": 1563,
    "image_shape": [
        32,
        32,
        3
    ],
    "num_classes": 100,
    "num_train_examples": 50000,
    "num_test_examples": 10000,
    "steps_per_epoch": 1562,
    "steps_per_test": 79,
    "random_label_fraction": 0,
    "num_params": 11220132
}
Save args to /home/lixiang/baseline/data_diet/exps/formal_cifar100_seed22_E200_b32_k6/run_5/args.json
train net...
  0.00% | time:  21.0s (  0.3m) | step:      0 | lr:   init | train acc:  init | test acc: 0.010
  0.50% | time: 118.6s (  2.3m) | step:   1563 | lr: 0.1000 | train acc: 0.219 | test acc: 0.173
  1.00% | time:  90.0s (  3.8m) | step:   3126 | lr: 0.1000 | train acc: 0.219 | test acc: 0.250
  1.50% | time:  87.7s (  5.3m) | step:   4689 | lr: 0.1000 | train acc: 0.312 | test acc: 0.285
  2.00% | time:  82.4s (  6.7m) | step:   6252 | lr: 0.1000 | train acc: 0.312 | test acc: 0.326
  2.50% | time:  83.2s (  8.0m) | step:   7815 | lr: 0.1000 | train acc: 0.312 | test acc: 0.339
  3.00% | time:  87.0s (  9.5m) | step:   9378 | lr: 0.1000 | train acc: 0.406 | test acc: 0.401
  3.50% | time:  87.0s ( 10.9m) | step:  10941 | lr: 0.1000 | train acc: 0.406 | test acc: 0.397
  4.00% | time:  78.0s ( 12.2m) | step:  12504 | lr: 0.1000 | train acc: 0.469 | test acc: 0.406
  4.50% | time:  87.2s ( 13.7m) | step:  14067 | lr: 0.1000 | train acc: 0.375 | test acc: 0.434
  5.00% | time:  87.3s ( 15.2m) | step:  15630 | lr: 0.1000 | train acc: 0.469 | test acc: 0.397
  5.50% | time:  77.4s ( 16.4m) | step:  17193 | lr: 0.1000 | train acc: 0.469 | test acc: 0.459
  6.00% | time:  86.8s ( 17.9m) | step:  18756 | lr: 0.1000 | train acc: 0.531 | test acc: 0.436
  6.50% | time:  87.4s ( 19.4m) | step:  20319 | lr: 0.1000 | train acc: 0.438 | test acc: 0.427
  7.00% | time:  86.6s ( 20.8m) | step:  21882 | lr: 0.1000 | train acc: 0.406 | test acc: 0.419
  7.50% | time:  76.8s ( 22.1m) | step:  23445 | lr: 0.1000 | train acc: 0.500 | test acc: 0.416
  8.00% | time:  86.6s ( 23.5m) | step:  25008 | lr: 0.1000 | train acc: 0.406 | test acc: 0.450
  8.50% | time:  87.7s ( 25.0m) | step:  26571 | lr: 0.1000 | train acc: 0.625 | test acc: 0.471
  9.00% | time:  77.3s ( 26.3m) | step:  28134 | lr: 0.1000 | train acc: 0.469 | test acc: 0.464
  9.50% | time:  87.8s ( 27.7m) | step:  29697 | lr: 0.1000 | train acc: 0.594 | test acc: 0.422
 10.00% | time:  87.3s ( 29.2m) | step:  31260 | lr: 0.1000 | train acc: 0.375 | test acc: 0.431
 10.50% | time:  76.5s ( 30.5m) | step:  32823 | lr: 0.1000 | train acc: 0.500 | test acc: 0.431
 11.00% | time:  87.4s ( 31.9m) | step:  34386 | lr: 0.1000 | train acc: 0.562 | test acc: 0.432
 11.50% | time:  87.5s ( 33.4m) | step:  35949 | lr: 0.1000 | train acc: 0.406 | test acc: 0.434
 12.00% | time:  93.0s ( 34.9m) | step:  37512 | lr: 0.1000 | train acc: 0.656 | test acc: 0.458
 12.50% | time:  78.0s ( 36.2m) | step:  39075 | lr: 0.1000 | train acc: 0.469 | test acc: 0.447
 13.00% | time:  87.5s ( 37.7m) | step:  40638 | lr: 0.1000 | train acc: 0.531 | test acc: 0.401
 13.50% | time:  86.9s ( 39.1m) | step:  42201 | lr: 0.1000 | train acc: 0.562 | test acc: 0.491
 14.00% | time:  78.4s ( 40.4m) | step:  43764 | lr: 0.1000 | train acc: 0.469 | test acc: 0.465
 14.50% | time:  87.6s ( 41.9m) | step:  45327 | lr: 0.1000 | train acc: 0.562 | test acc: 0.464
 15.00% | time:  87.2s ( 43.4m) | step:  46890 | lr: 0.1000 | train acc: 0.500 | test acc: 0.462
 15.50% | time:  87.2s ( 44.8m) | step:  48453 | lr: 0.1000 | train acc: 0.438 | test acc: 0.435
 16.00% | time:  77.7s ( 46.1m) | step:  50016 | lr: 0.1000 | train acc: 0.625 | test acc: 0.440
 16.50% | time:  87.6s ( 47.6m) | step:  51579 | lr: 0.1000 | train acc: 0.625 | test acc: 0.460
 17.00% | time:  87.1s ( 49.0m) | step:  53142 | lr: 0.1000 | train acc: 0.375 | test acc: 0.420
 17.50% | time:  76.9s ( 50.3m) | step:  54705 | lr: 0.1000 | train acc: 0.375 | test acc: 0.455
 18.00% | time:  87.1s ( 51.7m) | step:  56268 | lr: 0.1000 | train acc: 0.469 | test acc: 0.463
 18.50% | time:  87.4s ( 53.2m) | step:  57831 | lr: 0.1000 | train acc: 0.469 | test acc: 0.447
 19.00% | time:  78.0s ( 54.5m) | step:  59394 | lr: 0.1000 | train acc: 0.531 | test acc: 0.441
 19.50% | time:  86.0s ( 55.9m) | step:  60957 | lr: 0.1000 | train acc: 0.500 | test acc: 0.441
 20.00% | time:  87.4s ( 57.4m) | step:  62520 | lr: 0.1000 | train acc: 0.438 | test acc: 0.456
 20.50% | time:  87.5s ( 58.9m) | step:  64083 | lr: 0.1000 | train acc: 0.406 | test acc: 0.453
 21.00% | time:  77.7s ( 60.1m) | step:  65646 | lr: 0.1000 | train acc: 0.469 | test acc: 0.453
 21.50% | time:  86.9s ( 61.6m) | step:  67209 | lr: 0.1000 | train acc: 0.500 | test acc: 0.461
 22.00% | time:  88.0s ( 63.1m) | step:  68772 | lr: 0.1000 | train acc: 0.531 | test acc: 0.456
 22.50% | time:  77.4s ( 64.4m) | step:  70335 | lr: 0.1000 | train acc: 0.500 | test acc: 0.436
 23.00% | time:  86.5s ( 65.8m) | step:  71898 | lr: 0.1000 | train acc: 0.625 | test acc: 0.439
 23.50% | time:  88.3s ( 67.3m) | step:  73461 | lr: 0.1000 | train acc: 0.562 | test acc: 0.460
 24.00% | time:  86.9s ( 68.7m) | step:  75024 | lr: 0.1000 | train acc: 0.438 | test acc: 0.390
 24.50% | time:  77.3s ( 70.0m) | step:  76587 | lr: 0.1000 | train acc: 0.438 | test acc: 0.474
 25.00% | time:  85.9s ( 71.4m) | step:  78150 | lr: 0.1000 | train acc: 0.531 | test acc: 0.446
 25.50% | time:  87.7s ( 72.9m) | step:  79713 | lr: 0.1000 | train acc: 0.500 | test acc: 0.468
 26.00% | time:  76.9s ( 74.2m) | step:  81276 | lr: 0.1000 | train acc: 0.562 | test acc: 0.443
 26.50% | time:  87.1s ( 75.6m) | step:  82839 | lr: 0.1000 | train acc: 0.406 | test acc: 0.466
 27.00% | time:  86.6s ( 77.1m) | step:  84402 | lr: 0.1000 | train acc: 0.469 | test acc: 0.438
 27.50% | time:  77.5s ( 78.4m) | step:  85965 | lr: 0.1000 | train acc: 0.500 | test acc: 0.395
 28.00% | time:  87.1s ( 79.8m) | step:  87528 | lr: 0.1000 | train acc: 0.562 | test acc: 0.443
 28.50% | time:  86.5s ( 81.3m) | step:  89091 | lr: 0.1000 | train acc: 0.531 | test acc: 0.452
 29.00% | time:  86.1s ( 82.7m) | step:  90654 | lr: 0.1000 | train acc: 0.406 | test acc: 0.452
 29.50% | time:  77.5s ( 84.0m) | step:  92217 | lr: 0.1000 | train acc: 0.625 | test acc: 0.413
 30.00% | time:  85.9s ( 85.4m) | step:  93780 | lr: 0.1000 | train acc: 0.500 | test acc: 0.468
 30.50% | time:  86.7s ( 86.9m) | step:  95343 | lr: 0.0200 | train acc: 0.625 | test acc: 0.648
 31.00% | time:  77.7s ( 88.2m) | step:  96906 | lr: 0.0200 | train acc: 0.656 | test acc: 0.644
 31.50% | time:  87.4s ( 89.6m) | step:  98469 | lr: 0.0200 | train acc: 0.781 | test acc: 0.633
 32.00% | time:  86.9s ( 91.1m) | step: 100032 | lr: 0.0200 | train acc: 0.562 | test acc: 0.636
 32.50% | time:  76.9s ( 92.3m) | step: 101595 | lr: 0.0200 | train acc: 0.781 | test acc: 0.641
 33.00% | time:  87.6s ( 93.8m) | step: 103158 | lr: 0.0200 | train acc: 0.688 | test acc: 0.624
 33.50% | time:  86.9s ( 95.3m) | step: 104721 | lr: 0.0200 | train acc: 0.750 | test acc: 0.640
 34.00% | time:  87.5s ( 96.7m) | step: 106284 | lr: 0.0200 | train acc: 0.719 | test acc: 0.642
 34.50% | time:  77.1s ( 98.0m) | step: 107847 | lr: 0.0200 | train acc: 0.625 | test acc: 0.628
 35.00% | time:  86.7s ( 99.4m) | step: 109410 | lr: 0.0200 | train acc: 0.656 | test acc: 0.611
 35.50% | time:  86.5s (100.9m) | step: 110973 | lr: 0.0200 | train acc: 0.719 | test acc: 0.638
 36.00% | time:  77.4s (102.2m) | step: 112536 | lr: 0.0200 | train acc: 0.781 | test acc: 0.642
 36.50% | time:  86.7s (103.6m) | step: 114099 | lr: 0.0200 | train acc: 0.688 | test acc: 0.635
 37.00% | time:  86.2s (105.1m) | step: 115662 | lr: 0.0200 | train acc: 0.688 | test acc: 0.646
 37.50% | time:  77.3s (106.3m) | step: 117225 | lr: 0.0200 | train acc: 0.719 | test acc: 0.650
 38.00% | time:  88.0s (107.8m) | step: 118788 | lr: 0.0200 | train acc: 0.781 | test acc: 0.644
 38.50% | time:  86.8s (109.3m) | step: 120351 | lr: 0.0200 | train acc: 0.656 | test acc: 0.647
 39.00% | time:  86.7s (110.7m) | step: 121914 | lr: 0.0200 | train acc: 0.719 | test acc: 0.635
 39.50% | time:  77.1s (112.0m) | step: 123477 | lr: 0.0200 | train acc: 0.812 | test acc: 0.650
 40.00% | time:  87.3s (113.4m) | step: 125040 | lr: 0.0200 | train acc: 0.781 | test acc: 0.634
 40.50% | time:  86.9s (114.9m) | step: 126603 | lr: 0.0200 | train acc: 0.781 | test acc: 0.638
 41.00% | time:  76.8s (116.2m) | step: 128166 | lr: 0.0200 | train acc: 0.719 | test acc: 0.610
 41.50% | time:  86.8s (117.6m) | step: 129729 | lr: 0.0200 | train acc: 0.781 | test acc: 0.661
 42.00% | time:  87.7s (119.1m) | step: 131292 | lr: 0.0200 | train acc: 0.719 | test acc: 0.641
 42.50% | time:  78.8s (120.4m) | step: 132855 | lr: 0.0200 | train acc: 0.812 | test acc: 0.656
 43.00% | time:  87.3s (121.9m) | step: 134418 | lr: 0.0200 | train acc: 0.750 | test acc: 0.635
 43.50% | time:  87.0s (123.3m) | step: 135981 | lr: 0.0200 | train acc: 0.656 | test acc: 0.638
