epoch,train_loss,test_acc,best_acc
1,5.730287511901856,0.0182,0.0182
2,4.470537901306153,0.0468,0.0468
3,4.282466970062256,0.0893,0.0893
4,4.150135186309814,0.1112,0.1112
5,4.025685005340576,0.1459,0.1459
6,3.8955432887268064,0.1798,0.1798
7,3.7715241675567626,0.2056,0.2056
8,3.6659380425262453,0.227,0.227
9,3.5643597088623045,0.2149,0.227
10,3.4852053160858154,0.272,0.272
11,3.400963751907349,0.2696,0.272
12,3.338710269165039,0.2813,0.2813
13,3.362398258743286,0.2807,0.2813
14,3.257806640625,0.2991,0.2991
15,3.165144265899658,0.3101,0.3101
16,3.0975251746368406,0.3166,0.3166
17,3.034113095626831,0.3039,0.3166
18,2.971891477355957,0.3272,0.3272
19,2.904987537841797,0.3256,0.3272
20,2.854266513214111,0.3323,0.3323
21,2.7829153063201906,0.3255,0.3323
22,2.7206683390808104,0.2986,0.3323
23,2.6544832748413087,0.3371,0.3371
24,2.581347625732422,0.3376,0.3376
25,2.5067275520324706,0.3314,0.3376
26,2.437153610153198,0.3433,0.3433
27,2.3677228019714356,0.3489,0.3489
28,2.297395411224365,0.3518,0.3518
29,2.2378021283721923,0.3355,0.3518
30,2.161815396118164,0.3309,0.3518
31,2.095361183319092,0.3503,0.3518
32,2.0125600903320313,0.33,0.3518
33,1.9613355815124511,0.3101,0.3518
34,1.8928116138076783,0.306,0.3518
35,1.827541999206543,0.3379,0.3518
36,1.7636869793319703,0.3378,0.3518
37,1.7089679335784913,0.341,0.3518
38,1.6401219284057618,0.3407,0.3518
39,1.5934024711608887,0.3294,0.3518
40,1.5414422623825073,0.3116,0.3518
41,1.491269754524231,0.3259,0.3518
42,1.4351603030395508,0.3279,0.3518
43,1.4166143209075928,0.3304,0.3518
44,1.3493267998504639,0.3266,0.3518
45,1.3269708293151856,0.3165,0.3518
46,1.2974189778900147,0.3264,0.3518
47,1.2354199966812134,0.3132,0.3518
48,1.2303475543212892,0.3269,0.3518
49,1.1694560786056518,0.3085,0.3518
50,1.1698900664138794,0.3065,0.3518
51,1.1267279064941407,0.3201,0.3518
52,1.093827500152588,0.3216,0.3518
53,1.0709602868652344,0.312,0.3518
54,1.060399782333374,0.3104,0.3518
55,1.0430684547424316,0.3138,0.3518
56,0.9986555611801148,0.3106,0.3518
57,0.9950223140716553,0.3045,0.3518
58,0.9767355251312256,0.3199,0.3518
59,0.9364541283798218,0.3072,0.3518
60,0.9320782758712769,0.3007,0.3518
61,0.9250744508361817,0.302,0.3518
62,0.8944654815292359,0.3115,0.3518
63,0.876868828201294,0.2926,0.3518
64,0.8634692050170898,0.3049,0.3518
65,0.8483531911468506,0.2964,0.3518
66,0.8345022455596924,0.3025,0.3518
67,0.8237561096954346,0.2804,0.3518
68,0.7957866012573243,0.2945,0.3518
69,0.7882392123413086,0.3046,0.3518
70,0.7591238795852661,0.2847,0.3518
71,0.7789160122299195,0.2922,0.3518
72,0.7412072994995117,0.3033,0.3518
73,0.7276746015167236,0.2799,0.3518
74,0.7034031938171387,0.2903,0.3518
75,0.7256184738922119,0.3019,0.3518
76,0.6849178046607971,0.3001,0.3518
77,0.6653441854095459,0.3015,0.3518
78,0.6724134076690674,0.2872,0.3518
79,0.6481980741500855,0.2916,0.3518
80,0.6504083869552613,0.3084,0.3518
81,0.604067354183197,0.2888,0.3518
82,0.6277332625579835,0.2851,0.3518
83,0.6233380065536499,0.2941,0.3518
84,0.5975976079940796,0.3014,0.3518
85,0.5693406932449341,0.2852,0.3518
86,0.5608997567939759,0.2959,0.3518
87,0.5519994052696228,0.2887,0.3518
88,0.5544208510017395,0.2925,0.3518
89,0.5793932674980163,0.3039,0.3518
