epoch,train_loss,test_acc,best_acc
1,5.691566484069824,0.0233,0.0233
2,4.482143929901123,0.0399,0.0399
3,4.363056426086426,0.0688,0.0688
4,4.207277411193847,0.0986,0.0986
5,4.0823797996521,0.1267,0.1267
6,3.9779843671417234,0.1491,0.1491
7,3.8716766687774657,0.1699,0.1699
8,3.767077254638672,0.1981,0.1981
9,3.658321770477295,0.2147,0.2147
10,3.5702264936065675,0.237,0.237
11,3.4905564630126955,0.2473,0.2473
12,3.4221472486114504,0.2319,0.2473
13,3.350313978347778,0.2627,0.2627
14,3.2806496437072754,0.2793,0.2793
15,3.215118625946045,0.2893,0.2893
16,3.1562296173858644,0.2982,0.2982
17,3.089507080535889,0.3026,0.3026
18,3.0245715559387207,0.2818,0.3026
19,2.957666467666626,0.3121,0.3121
20,2.896142443847656,0.3009,0.3121
21,2.832455690612793,0.3082,0.3121
22,2.7645048194885256,0.3286,0.3286
23,2.702832164154053,0.3307,0.3307
24,2.632194906463623,0.3208,0.3307
25,2.56363449760437,0.3289,0.3307
26,2.496867396850586,0.3279,0.3307
27,2.4232357886505125,0.3204,0.3307
28,2.363434437484741,0.3217,0.3307
29,2.2842804915618897,0.3206,0.3307
30,2.2035907685089113,0.3307,0.3307
31,2.137753486328125,0.3271,0.3307
32,2.065665618133545,0.306,0.3307
33,1.9941084875488282,0.3258,0.3307
34,1.9083852587127685,0.3166,0.3307
35,1.853834520301819,0.3195,0.3307
36,1.7847922350311278,0.3158,0.3307
37,1.7098561428833008,0.3171,0.3307
38,1.6508006085968017,0.3079,0.3307
39,1.5997809864807129,0.2942,0.3307
40,1.5418555723571776,0.2979,0.3307
41,1.4981378774642944,0.3097,0.3307
42,1.4432716576385498,0.308,0.3307
43,1.388980040397644,0.303,0.3307
44,1.3632310430145265,0.313,0.3307
45,1.3068780111312865,0.3129,0.3307
46,1.2591657557678222,0.3039,0.3307
47,1.235252204322815,0.3019,0.3307
48,1.210924952545166,0.3027,0.3307
49,1.159151315727234,0.3001,0.3307
50,1.136813737258911,0.2927,0.3307
51,1.1228823566436767,0.3084,0.3307
52,1.074217728729248,0.291,0.3307
53,1.0690096348571778,0.2922,0.3307
54,1.0277320152664184,0.293,0.3307
55,1.026002403907776,0.2966,0.3307
56,0.9971132522583008,0.2954,0.3307
57,0.9755622647857666,0.2876,0.3307
58,0.9498119496917724,0.301,0.3307
59,0.9319925345230102,0.2872,0.3307
60,0.9177118490982056,0.2961,0.3307
61,0.8956327411270142,0.2944,0.3307
62,0.8772428357315063,0.2777,0.3307
63,0.8784420175933838,0.2897,0.3307
64,0.8396682348632812,0.285,0.3307
65,0.8369160674667359,0.2958,0.3307
66,0.8242789025878906,0.2954,0.3307
67,0.797936317024231,0.2949,0.3307
68,0.821372809829712,0.281,0.3307
69,0.7625468390464782,0.2777,0.3307
70,0.7763028606414795,0.2894,0.3307
71,0.7335234917449951,0.2881,0.3307
72,0.7409733717727661,0.2901,0.3307
73,0.7362942685127258,0.282,0.3307
74,0.7038544484710694,0.2912,0.3307
75,0.7059471229934693,0.2945,0.3307
76,0.6872869216537476,0.2894,0.3307
77,0.693162615814209,0.289,0.3307
78,0.6594988854598999,0.2701,0.3307
79,0.646275184020996,0.2797,0.3307
80,0.6278088623809814,0.2835,0.3307
81,0.6153220283126831,0.2855,0.3307
82,0.6314294199752808,0.276,0.3307
83,0.6135007216262818,0.2772,0.3307
84,0.5804219511795043,0.2831,0.3307
85,0.5733991915893555,0.2763,0.3307
86,0.5768265171432495,0.2775,0.3307
87,0.57171848487854,0.2914,0.3307
88,0.5546988800430298,0.2871,0.3307
89,0.5285059755706787,0.2872,0.3307
90,0.5321303900527954,0.281,0.3307
91,0.5074283688735962,0.2845,0.3307
92,0.5193538190841674,0.2846,0.3307
93,0.4824179872894287,0.2876,0.3307
94,0.47248554824829103,0.2886,0.3307
95,0.4661771076202393,0.2808,0.3307
96,0.4687550601577759,0.2902,0.3307
97,0.4519277389907837,0.2761,0.3307
98,0.4283984991836548,0.286,0.3307
99,0.4344264914894104,0.2842,0.3307
100,0.4301421452331543,0.2788,0.3307
101,0.42697264572143556,0.2877,0.3307
102,0.40442630756378173,0.2904,0.3307
103,0.37702280157089235,0.2946,0.3307
104,0.3652124145889282,0.2827,0.3307
105,0.4168122076034546,0.276,0.3307
106,0.3708452515983581,0.289,0.3307
107,0.3294258989906311,0.2896,0.3307
108,0.33029696102142336,0.2955,0.3307
109,0.34386605503082274,0.2883,0.3307
110,0.3353514112663269,0.2967,0.3307
111,0.3198310128211975,0.2796,0.3307
112,0.2970862909698486,0.2941,0.3307
113,0.2590776718425751,0.2968,0.3307
114,0.2824889982891083,0.2851,0.3307
115,0.324133723487854,0.2746,0.3307
116,0.32405855155944824,0.2931,0.3307
117,0.25368136527061463,0.2956,0.3307
118,0.19175422969818115,0.3022,0.3307
119,0.14319823862791062,0.3184,0.3307
120,0.10102687493801117,0.3183,0.3307
121,0.07174901448965072,0.3309,0.3309
122,0.03993503375291824,0.3415,0.3415
123,0.024795968625545502,0.3524,0.3524
124,0.017066558244228362,0.3647,0.3647
125,0.013399847464561462,0.3704,0.3704
126,0.01194838442146778,0.3689,0.3704
127,0.012408650788068772,0.3725,0.3725
128,0.010036925619244576,0.3743,0.3743
129,0.011754295377731323,0.3755,0.3755
130,0.011335429414510727,0.3758,0.3758
131,0.010265642735362053,0.3728,0.3758
132,0.009735336700081825,0.3767,0.3767
133,0.008733057370781899,0.3747,0.3767
134,0.008886168939471245,0.3761,0.3767
135,0.008495446035265922,0.3765,0.3767
136,0.008437506162524224,0.378,0.378
137,0.008574831070005893,0.3742,0.378
